geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
National,NA,NA,All,2012-13,201247,19,3437,3456,49491,6.9830878342,104.01748652
National,NA,NA,All,2012-13,201248,31,3816,3847,50732,7.5829850982,106.62575269
National,NA,NA,All,2012-13,201249,64,3944,4008,51882,7.7252226206,109.04276001
National,NA,NA,All,2012-13,201250,97,3965,4062,51452,7.8947368421,108.13900945
National,NA,NA,All,2012-13,201251,144,4221,4365,52830,8.262350937,111.03521475
National,NA,NA,All,2012-13,201252,232,4714,4946,55027,8.9883148273,115.65274961
National,NA,NA,All,2012-13,201301,410,5620,6030,59284,10.171378449,124.5998802
National,NA,NA,All,2012-13,201302,655,6080,6735,60946,11.050766252,128.09298122
National,NA,NA,All,2012-13,201303,635,5941,6576,59203,11.107545226,124.42963882
National,NA,NA,All,2012-13,201304,503,5649,6152,57893,10.626500613,121.67635221
National,NA,NA,All,2012-13,201305,393,5291,5684,56403,10.077478148,118.54475142
National,NA,NA,All,2012-13,201306,268,5028,5296,55747,9.5000627836,117.16600637
National,NA,NA,All,2012-13,201307,209,4889,5098,54472,9.3589367014,114.48628086
National,NA,NA,All,2012-13,201308,167,4581,4748,53525,8.870621205,112.49592787
National,NA,NA,All,2012-13,201309,148,4489,4637,53096,8.7332379087,111.59427905
National,NA,NA,All,2012-13,201310,103,4420,4523,53368,8.4751161745,112.16595382
National,NA,NA,All,2012-13,201311,109,4405,4514,53077,8.5046253556,111.55434588
National,NA,NA,All,2012-13,201312,83,4192,4275,52138,8.1993939161,109.58080686
National,NA,NA,All,2012-13,201313,56,4180,4236,51845,8.1705082457,108.96499543
National,NA,NA,All,2012-13,201314,50,4057,4107,51380,7.9933826392,107.98768377
National,NA,NA,All,2012-13,201315,35,3938,3973,50878,7.8088761351,106.93260753
National,NA,NA,All,2012-13,201316,22,3826,3848,49561,7.7641694074,104.16460871
National,NA,NA,All,2012-13,201317,27,3587,3614,48383,7.4695657566,101.68875251
National,NA,NA,All,2012-13,201318,10,3508,3518,48403,7.2681445365,101.73078742
National,NA,NA,All,2012-13,201319,11,3395,3406,47956,7.1023438152,100.79130718
National,NA,NA,All,2012-13,201320,4,3316,3320,47406,7.0033329114,99.635347156
National,NA,NA,All,2012-13,201321,12,3249,3261,47336,6.8890485043,99.488224971
National,NA,NA,All,2012-13,201322,3,3040,3043,46646,6.52360331,98.038020576
National,NA,NA,All,2012-13,201323,8,3346,3354,47040,7.1301020408,98.866108303
National,NA,NA,All,2012-13,201324,6,3277,3283,46614,7.0429484704,97.97076472
National,NA,NA,All,2012-13,201325,4,3127,3131,46500,6.7333333333,97.731165733
National,NA,NA,All,2012-13,201326,2,3063,3065,46453,6.5980668633,97.632383695
National,NA,NA,All,2012-13,201327,5,2982,2987,46726,6.3925865685,98.206160216
National,NA,NA,All,2012-13,201328,2,3043,3045,45844,6.642090568,96.352420685
